Timestamp,Level,File:Line,Message
2025-02-21 23:25:34,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:25:34,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:25:34,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:12,Initializing [viewPySide]
2025-02-21 23:25:34,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:19,Running [lazyAppUI_T]
2025-02-21 23:25:34,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:31,Running [viewPySide_T]
2025-02-21 23:26:54,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:26:54,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:26:54,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:12,Initializing [viewPySide]
2025-02-21 23:26:54,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:19,Running [lazyAppUI_T]
2025-02-21 23:26:54,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:31,Running [viewPySide_T]
2025-02-21 23:26:59,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:26:59,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:26:59,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:12,Initializing [viewPySide]
2025-02-21 23:26:59,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:19,Running [lazyAppUI_T]
2025-02-21 23:26:59,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:31,Running [viewPySide_T]
2025-02-21 23:27:04,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:27:04,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:27:04,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:12,Initializing [viewPySide]
2025-02-21 23:27:04,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:19,Running [lazyAppUI_T]
2025-02-21 23:27:04,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:31,Running [viewPySide_T]
2025-02-21 23:27:25,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:27:25,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:27:25,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:12,Initializing [viewPySide]
2025-02-21 23:27:25,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:19,Running [lazyAppUI_T]
2025-02-21 23:27:25,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:31,Running [viewPySide_T]
2025-02-21 23:28:11,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:28:11,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:28:11,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:12,Initializing [viewPySide]
2025-02-21 23:28:11,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:19,Running [lazyAppUI_T]
2025-02-21 23:28:11,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:31,Running [viewPySide_T]
2025-02-21 23:29:01,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:29:01,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:29:01,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:12,Initializing [viewPySide]
2025-02-21 23:29:01,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:19,Running [lazyAppUI_T]
2025-02-21 23:29:01,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:31,Running [viewPySide_T]
2025-02-21 23:31:01,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:32:01,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:11,Initializing [lazyAppUI_T]
2025-02-21 23:32:01,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:34:32,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:15,Initializing [lazyAppUI_T]
2025-02-21 23:34:32,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:34:32,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:13,Initializing [viewPySide]
2025-02-21 23:34:32,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:24,Running [lazyAppUI_T]
2025-02-21 23:34:32,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:32,Running [viewPySide_T]
2025-02-21 23:35:05,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:15,Initializing [lazyAppUI_T]
2025-02-21 23:35:05,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:35:05,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:13,Initializing [viewPySide]
2025-02-21 23:35:05,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:24,Running [lazyAppUI_T]
2025-02-21 23:35:05,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:32,Running [viewPySide_T]
2025-02-21 23:36:55,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:15,Initializing [lazyAppUI_T]
2025-02-21 23:36:55,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:36:55,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:13,Initializing [viewPySide]
2025-02-21 23:36:55,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:24,Running [lazyAppUI_T]
2025-02-21 23:36:55,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:29,Running [UI task]
2025-02-21 23:36:55,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:32,Running [viewPySide_T]
2025-02-21 23:38:29,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:15,Initializing [lazyAppUI_T]
2025-02-21 23:38:29,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:38:29,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:14,Initializing [viewPySide]
2025-02-21 23:38:29,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:24,Running [lazyAppUI_T]
2025-02-21 23:38:29,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:29,Running [UI task]
2025-02-21 23:38:29,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:40,Running [viewPySide_T]
2025-02-21 23:39:32,INFO,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:15,Initializing [lazyAppUI_T]
2025-02-21 23:39:32,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\view_abstract.py:8,Initializing [ViewAbstract_T]
2025-02-21 23:39:32,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:13,Initializing [viewPySide]
2025-02-21 23:39:32,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:24,Running [lazyAppUI_T]
2025-02-21 23:39:32,DEBUG,c:\Users\hoang\Downloads\RsLazyApp\lazyApp.py:29,Running [UI task]
2025-02-21 23:39:32,INFO,c:\Users\hoang\Downloads\RsLazyApp\views\pySideView.py:32,Running [viewPySide_T]
